bbc1,BBC Radio 1,BBC Radio 1,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio1_mf_p
bbc2,BBC Radio 2,BBC Radio 2,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio2_mf_p
bbc3,BBC Radio 3,BBC Radio 3,http://open.live.bbc.co.uk/mediaselector/5/select/version/2.0/mediaset/http-icy-aac-lc-a/format/pls/vpid/bbc_radio_three.pls
bbc4,BBC Radio 4,BBC Radio 4,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio4fm_mf_p
bbc5,BBC Radio 5,BBC Radio 5,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio5live_mf_p
bbc6,BBC Radio 6,BBC Radio 6,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_6music_mf_p
bbc1x,BBC Radio 1 Extra,BBC Radio 1 Extra,http://www.bbc.co.uk/radio/listen/live/r1x_aaclca.pls
bbc4x,BBC Radio 4 Extra,BBC Radio 4 Extra,http://www.bbc.co.uk/radio/listen/live/r4x_aaclca.pls
bbc5sp,BBC Radio 5 Live Sports,BBC Radio 1,http://www.bbc.co.uk/radio/listen/live/r5lsp_aaclca.pls
onelovehiphop,One Love HipHop,HipHop music.,http://www.radioson.ru:8009/HipHop1Love.RadioSon.ru.mp3
arrow,The Arrow,All Rock Radio station.,http://media-the.musicradio.com:80/Arrow
113fm,.113 FM Hits 1992,The hits.,http://113fm-edge2.cdnstream.com:80/1768_128
dynamic,Dynamic33,Dynamic music.,http://streaming211.radionomy.com:80/Dynamic33
ambient,Ambient Radio,Relaxation music you can chill to.,http://uk2.internet-radio.com:31491/
jazz,Smooth Jazz,Smoooooth like butter.,http://us4.internet-radio.com:8266/listen.pls&t=.pls
heart,Heart Hits,The hits from Heart Radio.,http://hearthits.online/heart.mp3
psy,Psystation Twilight,Not the vampires.,http://hestia2.cdnstream.com:80/1623_64
discord,Discord Radio,No relation.,http://janus.cdnstream.com:5397/autodj
newgrounds,Newgrounds Rock,Is newgrounds still new?,http://stream01.ungrounded.net:80/rock
danceattack,Dance Attack,Attack of the dance.,http://uk4.internet-radio.com:8049/listen.pls&t=.pls
bbc6m,BBC 6 Music,BBC 6 Music,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_6music_mf_p
jpopsuki,jpopsuki,jpopsuki,http://jpopsuki.fm:8000/autodj
jpop,J-Pop Project Radio,Attack of the jpop.,http://streaming210.radionomy.com:80/J-PopProjectRadio
nexus,Nexus Radio,In to the nexus...,http://173.236.48.82:80/nexuspop.aac
capital,Capital FM,The Capital of Radio.,http://stream.infinynetworks.net:8050/CAPITALFMAAC
atlantis,Atlantis Radio,Radio from the sea?...,http://radio4.pro-fhi.net:9006/atlantis64
aire,Radio Aire,Stream for the Armley area of Leeds.,https://stream-al.planetradio.co.uk/aire.mp3
bbclondon,BBC London Radio,From the heart of London.,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_lrldn_mf_p
bbcmanc,BBC Manchester Radio,Radio for the mancs.,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_lrmanc_mf_p
bbcleeds,BBC Leeds Radio,Station for the Leeds area.,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_lrleeds_mf_p
bbcwn,BBC World News,News broadcasting.,http://bbcwssc.ic.llnwd.net/stream/bbcwssc_mp1_ws-einws
bbcsuk,BBC World Service UK,No info.,http://bbcwssc.ic.llnwd.net/stream/bbcwssc_mp1_ws-eieuk
heat,Heat Radio,No info.,https://stream-al.planetradio.co.uk/heat.mp3
kiss,Kiss Fresh Radio,No info.,https://stream-al.planetradio.co.uk/kissfresh.mp3
kerrang,Kerrang Radio,No info.,https://stream-al.planetradio.co.uk/kerrang.mp3
planetrock,Planet Rock Radio,No info.,https://stream-mz.planetradio.co.uk/planetrock.mp3
absolute00,Absolute 00 Radio,Hits from the noughties.,https://ais.absoluteradio.co.uk/absolute00s.mp3
absolute,Absolute Radio,No info.,https://ais.absoluteradio.co.uk/absoluteradio.mp3
magicchilled,Magic Chilled,No info.,https://stream-mz.planetradio.co.uk/magicchilled.mp3
magicmellow,Magic Mellow,No info.,https://stream-mz.planetradio.co.uk/magicmellow.mp3
magic,Magic,No info.,https://stream.planetradio.co.uk/mag/hi/mp3/
meltdown,Radio Meltdown,Variety indie station.,http://192.240.102.133:7714/stream
electroparty,Electro Party,Electric/dance remixes and tracks.,http://streaming211.radionomy.com:80/ElectroPartyHits
royaltrap,Royal Trap,N/A,http://193.33.170.218:8000/RoyalTrap
fantasy,Radio Fantasy, N/A,http://stream.radio-fantasy.at:9221/fantasy 
prysm,PRYSM,N/A,http://streaming316.radionomy.com:80/prysmradio06-aac